Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"Two  small  silver
Bowls",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-08,5000.0,0.0,Yes,Yes
"One Pilot Pen with
ink",Pen,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-08,3500.0,0.0,Yes,Yes
One silver vase,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen Mush,2002-01-09,7500.0,0.0,Yes,Yes
"One  (decoration)
folding Screen",Decoration Pieces,"Mr.  Abdul Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-15,2200.0,0.0,Yes,Yes
"One  Decoration
Piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-22,2000.0,0.0,Yes,Yes
One gown,Clothes,"Mr.  Ahmed  Waqar,  Secretary
Privatization Commission",Gen Mush,2002-01-26,2500.0,0.0,Yes,Yes
"One  Coffee  Set
(07 pcs)",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-28,1800.0,0.0,Yes,Yes
"Art  glass
decoration piece",Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen Mush,2002-02-01,1200.0,0.0,Yes,Yes
"One  leather  black
colour wallet",Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor  to  Finance
Minister",Gen Mush,2002-02-04,150.0,0.0,Auctioned,"Auctioned for
Rs.500/-"
"One  Pen  Stand
fitted with clock",Pen,"Mr.  Altaf  M.  Saleem,  Minster  for
Privatization",Gen Mush,2002-02-06,550.0,0.0,Auctioned,"Auctioned for
Rs.305/-"
"One  small  silver
ice cream cup",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-02-08,1350.0,0.0,Yes,Yes
"One  piece  red
colour  Afghani
Handmade  carpet
(small size)",Carpet,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-02-08,6500.0,0.0,Yes,Yes
One Insignia,,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Hand
Painting",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,600.0,0.0,Yes,Yes
"One  Vase  China
Clay",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,500.0,0.0,Yes,Yes
"One  Metallic
Plate  Embossed
Scenery",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,6000.0,0.0,Yes,Yes
"a.  Two  Wall
hangings
b.  One  small
Piano
c.  Two  small
wooden dolls",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Book
Masjid-ul-
Hassan",,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Metallic
Bowl  with
wooden stand",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Metallic
small plate",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Tasbih  in
Wooden Box",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"Ornament
Necklace Set (03
Pieces)",Jewellery/Accessories,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  metallic
vase",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-02-19,850.0,0.0,Yes,Yes
"One  cufflinks
Insignia on it",Jewellery/Accessories,"Minister  for Petroleum  &  Natural
Resources",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  set  of
Cufflinks",Jewellery/Accessories,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization",Gen Mush,2002-02-20,0.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
a.  Statue  of Golden Dragon b. One wall painting,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister for
Finance",Gen Mush,2002-02-26,26200.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
"a.  Cotton  Bed
Spread
b. One Painting",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,1800.0,0.0,Yes,Yes
"Electronic  Prayer
Time Calendar",Tech,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,8000.0,0.0,Yes,Yes
"Metallic  Plate
with  Insignia  of
the  Chinese
Academy  of
Sciences",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,0.0,0.0,Yes,Yes
"One  plastic  box
containing  one
carpet",Carpet,"Mr.  Usman  Aminuddin,  Minister  for
Petroleum & Natural Resources",Gen Mush,2002-03-02,13000.0,450.0,Yes,Yes
"Jewellary  box
made of silver",Jewellery/Accessories,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,2002-03-06,5500.0,0.0,Yes,Yes
"Kehwa  set  (24
pcs)",Crockery,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,2002-03-06,4500.0,0.0,Yes,Yes
One leather bag,Bags,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,1800.0,0.0,Yes,Yes
"One  Jewellery
box",Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
Chief Executive of Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
One shield,Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,2000.0,0.0,Yes,Yes
"One  revolver
clot",Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,72000.0,9300.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,4200.0,0.0,Yes,Yes
One photo frame,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
One Scenery,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-03-09,1800.0,0.0,Yes,Yes
"One  decoration
piece of boat",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-03-13,1500.0,0.0,Yes,Yes
"One photo frame
(10x10)",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-03-13,1200.0,0.0,Yes,Yes
Cigarettes box,Cigar/Cigarettes,"Minister  for  Commerce,  Industries
and Production",Gen Mush,2002-03-13,2000.0,0.0,Yes,Yes
"One  large
wooden  Jewelry
box",Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-03-16,2000.0,0.0,Yes,Yes
"One  medal  with
emblem",Jewellery/Accessories,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-03-18,0.0,0.0,Yes,Yes
One table clock,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-03-19,2500.0,0.0,Yes,Yes
"Pair  of  flower
vase",Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen Mush,2002-03-19,0.0,0.0,Yes,Yes
"One Wrist Watch
Fendi  (Swiss)
(No.016-4500G-
992)",Watch,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-03-22,16000.0,0.0,Yes,Yes
"One  small
wooden box with
six  packets  of
tea",Food,"Minister  for  Information  &  Media
Development",Gen Mush,2002-03-22,0.0,0.0,Yes,Yes
"a.  One  Wrist
Watches FENDI
b.  One  Wrist
Watches FENDI",Watch,"Mr.  S.  Anwar  Mahmood,  Secretary,
Information and Media Development",Gen Mush,2002-03-26,41000.0,4650.0,Yes,Yes
One tea set,Crockery,Foreign Secretary,Gen Mush,2002-03-27,4000.0,0.0,Yes,Yes
"One Wrist Watch
Bvlgari",Watch,"Major  General  Nadeem  Taj,  Military
Secretary to President.",Military,2002-03-29,85000.0,11250.0,Yes,Yes
"One Wrist Watch
Bvlgari",Watch,"Begum  of  (Major  General,  Nadeem
Taj, Military Secretary to President)",Military,2002-03-29,45000.0,5250.0,Yes,Yes
"One  wooden
decoration piece",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
"One  tea  set  (17
pcs)",Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-03-30,4000.0,0.0,Yes,Yes
"One  wrist  watch
Korean Made",Watch,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,2002-03-30,4000.0,0.0,Yes,Yes
"One  Korean
Traditional
wooden Box",Decoration Pieces,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,2002-03-30,1000.0,0.0,Yes,Yes
"One  gift  of
flower  vase
(white  china
clay)",Decoration Pieces,"Mr.  Imtiaz  Ahmed  Sahibzada,
Hon’ble Wafaqi Mohtasib",Bureaucracy,2002-03-30,800.0,0.0,Yes,Yes
"One  Cassette
Recorder",Tech,"Minister  Petroleum  &  Natural
Resources",Gen Mush,2002-04-01,2500.0,0.0,Yes,Yes
One pen,Pen,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2500.0,0.0,Yes,Yes
One  Jewellery box (porcelain),Jewellery/Accessories,"General  Parvez  Musharraf, ""President/  Chief  Executive  of
Pakistan""",Military,2002-04-03,3000.0,0.0,Yes,Yes
"Decoration  piece
(Ceramic Horse)",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
Flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1000.0,0.0,Yes,Yes
"One  Book  &  Pen
tray (Ceramic)",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,450.0,0.0,Yes,Yes
One tie,Clothes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,650.0,0.0,Yes,Yes
"One  Decoration
piece",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
"a. One book
b.  One  Jewellary
box
c.  Insignia
House  of
Councilors",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1500.0,0.0,Yes,Yes
"One  picture  of
Budha  duly
framed",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1200.0,0.0,Yes,Yes
"One  box  Cohiba
cigars",Cigar/Cigarettes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1250.0,0.0,Yes,Yes
"One  wooden  ball
with hammer",Decoration Pieces,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,100.0,0.0,Yes,Yes
"One  book  &  one
Calendar",Decoration Pieces,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of pakistan",Military,2002-04-03,0.0,0.0,Yes,Yes
"a. One book
b.  One
handkerchief",,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,70.0,0.0,Yes,Yes
One glass vase,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-08,800.0,0.0,Yes,Yes
One Cigar Box,Cigar/Cigarettes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-09,400.0,0.0,Yes,Yes
One shawl,Clothes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-09,700.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Brig. Nadeem Taj, Military Secretary
to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy
Military Secretary to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Muhammad  Ilyas,  Chief
Security Officer to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Major  Asad  Farooq,  Security  Officer
to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Makeem, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Shaukat, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Aslam,Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Yousaf,Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/ NK Daud Rehman,Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK Muhammad Asghar,Military,2002-04-09,400.0,0.0,Yes,Yes
One shawl,Clothes,"Ms.  Saadia  Altaf  Qazi,  Protocol
Officer  (V-I)  Ministry  of  Foreign
Affairs",Bureaucracy,2002-04-10,0.0,0.0,Yes,Yes
"One  painting  of
China Great Wall",Decoration Pieces,"Mr.  Ahmad  Waqar,  Secretary,
Privatization,  Privatization
Commission",Bureaucracy,2002-04-10,650.0,0.0,Yes,Yes
"One  digital
calendar  (pocket
size)",Tech,"Director  General  (B&U),  Ministry  of
Privatization,  Privatization
Commission ",Bureaucracy,2002-04-10,1000.0,0.0,Yes,Yes
"One  Blue  Onyx
Bowl",Decoration Pieces,"Minister  for  Information  &  Media
Development",Gen Mush,2002-04-10,500.0,0.0,Retained.,Retained.
"One  Woolen
Shawl",Clothes,"Minister  for  Information  &  Media
Development",Gen Mush,2002-04-10,0.0,0.0,Retained.,Retained.
"One  handmade
carpet",Carpet,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-04-11,18000.0,1200.0,Yes,Yes
"Handmade
Embroidery  of
Bangladesh
depicting  two
women on Cloth",Clothes,"Mr.  M.  Yaqoob  Malik,  Chief
Coordinating Officer, SAARC, Human
Resources Development Centre",Bureaucracy,2002-04-12,0.0,0.0,Auctioned,"Auctioned
for
Rs.1,150/-"
"One crystal glass
vase",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-15,1500.0,0.0,Yes,Yes
Tea set (08 pcs),Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-15,650.0,0.0,Yes,Yes
One time piece,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-04-15,2200.0,0.0,Yes,Yes
"One  Ball  Pen
(Caran d Ache",Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Bureaucracy,2002-04-18,1200.0,0.0,Yes,Yes
One Bras Plate,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Bureaucracy,2002-04-18,0.0,0.0,Yes,Yes
"One  decoration
piece  of  Metallic
plate",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-19,0.0,0.0,Yes,Yes
One crystal bowl,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-04-19,2800.0,0.0,Yes,Yes
"One  Jewellary
box  (made  of
Lipazic)",Jewellery/Accessories,"Minister  for  Commerce,  Industries
and Production",Gen Mush,2002-04-20,400.0,0.0,Yes,Yes
One cutlery set,Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-04-23,8000.0,0.0,Yes,Yes
"One  Short  Gun
12-Bore  (7  Shot
Pump  action
Daud  Sons
Armory)",Weapons,Minister for Commerce,Gen Mush,2002-04-30,6800.0,0.0,Auctioned,"Auctioned
for
Rs.14,000/-"
Two ball pens,Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-05-03,1600.0,0.0,Yes,Yes
"One  decoration
Piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-05-03,1100.0,0.0,Yes,Yes
"Two  large
wooden  chess
Box",Decoration Pieces,"Mr.  Shaukat  Aziz, Minister  for
Finance",Gen Mush,2002-05-06,3500.0,0.0,Yes,Yes
"Wooden
Decoration piece",Decoration Pieces,"Secretary  Planning  &  Development
Division",Bureaucracy,2002-05-06,0.0,0.0,Auctioned,"Auctioned
for
Rs.1,210/-"
"Crystal
decoration piece",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-05-13,1300.0,0.0,Yes,Yes
"One  Video
Player  (Shinko
DVD)",Tech,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-05-16,0.0,0.0,Yes,Yes
Bank Souvenir,,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen Mush,2002-05-17,0.0,0.0,Yes,Yes
"One  DVD  Set
with speakers",Tech,"Mr.  Inam-ul-Haque,  Foreign
Secretary, M/o Foreign Affairs",Gen Mush,2002-05-18,11300.0,195.0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-05-29,2300.0,0.0,Yes,Yes
"a.  One  pocket
watch
b. One carpet",Watch,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen Mush,2002-05-31,10500.0,75.0,Yes,Yes
"One  coffee
machine",Tech,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen Mush,2002-05-31,11500.0,225.0,Yes,Yes
"One  mantle
(trophy shape)",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-06-01,1600.0,0.0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-06-04,7000.0,0.0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-06-04,7000.0,0.0,Yes,Yes
"One decoration
piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-06-06,3200.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen Mush,2002-06-06,7000.0,0.0,Yes,Yes
One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-06-06,10000.0,0.0,Yes,Yes
"One  table  set
(table  watch,
key  ring,  slip
pad,  cutter  and
pen etc)",Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-06-06,3500.0,0.0,Auctioned,"Auctioned
for
Rs.2,000/-"
"Desk  Set  (table
watch,  key  ring,
slip  pad,  cutter
and pen etc)",Watch,"Mr.  Khalid  Siraj,  Senior,  Adviser  to
Finance Minister",Gen Mush,2002-06-07,3500.0,0.0,Auctioned,"Auctioned
for
Rs.1,505/-"
"a.  One  Wrist
watch  Daewoo
gents
b.  One  Wrist
watch  Daewoo
ladies",Watch,"Dr.  Waqar  Masood  Khan,  Additional
Finance Secretary (EF/Policy)",Bureaucracy,2002-06-10,3000.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-10,13000.0,450.0,Yes,Yes
One Holy Quran,Decoration Pieces,"General Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-10,0.0,0.0,Yes,Yes
"One  golden
piece  of  golden
horse",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,2002-06-13,3200.0,0.0,Yes,Yes
"a. One brief case
having: -
b.  One  wrist
watch gents
c. One  ladies
wrist watch
d.  One  pen  in
white gold
e.  Pair  of  ear
studs
f. One tasbih",Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,2002-06-13,170000.0,24000.0,Yes,Yes
"a.  One
decoration piece
b.  One  Ladies
Suit pieces",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,2850.0,0.0,Yes,Yes
"One  jewellery
box",Jewellery/Accessories,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,4300.0,0.0,Yes,Yes
"One  revolver
colt 44 cal",Weapons,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,72000.0,9300.0,Yes,Yes
"One  Wrist  watch
Daewoo gents",Watch,"Mr. M.  Mumtaz  Malik,  Deputy
Secretary (EFB)",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
"One  Wrist  watch
Daewoo gents",Watch,"Mr.  Muhammad  Jameel,  Section
Officer",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
Model  of  Golden,Watch,Minister  for  Kashmir  Affairs  and,Gen Mush,2002-06-17,5500.0,0.0,Yes,Yes
Golden Coin,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,9170.0,0.0,Auctioned,"Auctioned
for
Rs.18,312/-"
Coin (silver),Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,600.0,0.0,Auctioned,"Auctioned
for
Rs.1,311/-"
FAO Souvenir,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,310.0,0.0,Auctioned,"Auctioned
for
Rs.333/-"
Proof Coin Set,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,500.0,0.0,Auctioned,"Auctioned
for
Rs.1,701/-"
Parker Pen Set,Pen,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,3000.0,0.0,Auctioned,"Auctioned
for
Rs.4,210/-"
"Dewaruci
Indonesia  (Sail-
ship  Decoration
Piece)",Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,1400.0,0.0,"Displayed
at
Presidency","Displayed
at
Presidency"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,1200.0,0.0,Auctioned,"Auctioned
for
Rs.1,820/-"
Box,,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,450.0,0.0,Auctioned,"Auctioned
for
Rs.820/-"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen Mush,2002-06-20,1500.0,0.0,Auctioned,"Auctioned
for
Rs.411/-"
"Wrist  Watch
Concord",Watch,"Mr.  S.  Anwar  Mahmood,  Secy,
Information  and  Media
Development.",Bureaucracy,2002-06-21,0.0,9750.0,Yes,Yes
"One  model  of
Masjid-e- Nabvi",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,60000.0,7500.0,Yes,Yes
"a. One Cigar box
b.  One  ladies
purse",Cigar/Cigarettes,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,4500.0,0.0,Yes,Yes
"One  bowl
(copper)",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,5500.0,0.0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,12000.0,300.0,Yes,Yes
"Two  empty
wooden
Jewellery boxes",Jewellery/Accessories,"Chief of Protocol and Deputy Chief
Protocol Ministry of Foreign Affairs",Military,2002-07-04,0.0,0.0,Yes,Yes
"a.  One  statue  of
soldier
b.  One  leather
bag
c.  One  silver
coin
d.  One  jewelry
box",,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-05,25125.0,2269.0,Yes,Yes
"One  hand  bag
with ball pen",Pen,"General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,2002-07-05,2200.0,0.0,Yes,Yes
One hand bag,Bags,"Lt.  Col.  Muhammad  Arshad,  Chief
Security  Officer  to  the  Chief
Executive",Military,2002-07-05,300.0,0.0,Yes,Yes
One hand bag,Bags,"Major Syed Tanveer Ali ADC to Chief
Executive",Military,2002-07-05,300.0,0.0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Javed  A.  Qureshi,  Joint
Secretary  (B),  Chief  Executive
Secretariat",Bureaucracy,2002-07-07,75000.0,9750.0,Yes,Yes
"One  Lacqure  Art
box",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-07-15,1000.0,0.0,Yes,Yes
"One  tea  set  (24
pcs)",Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-22,3000.0,0.0,Yes,Yes
"One wooden box
show piece",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-07-22,1000.0,0.0,Auctioned,"Auctioned
for
Rs.1,015/-"
"Wrist  Watch
(Concord)",Watch,"Brig. (Retd) Mian Khalid Habib, Chief
of Protocol, Foreign Affairs",Military,2002-07-23,75000.0,9750.0,Yes,Yes
"One  Tea  set  (14
pcs)",Crockery,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen Mush,2002-07-25,3000.0,0.0,Yes,Yes
"a.  Satellite
Phone  set  with
GSM+GPS
b.  One  Souvenir
(Eagle)",Phone,"Dr. Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-07-25,29000.0,3300.0,Yes,Yes
"a. One  Books
“Sons  and
Lovers  by
D.H.
Lawrence
b. One  Book
“Villete”  by
Charlotte
Bronte",,"Mr.  Akhtar  Said  Minister  for
Education,  Government  of  the
Punjab",Gen Mush,2002-07-25,2200.0,0.0,"Displayed
at Cabinet
Division’s
Library","Displayed
at Cabinet
Division’s
Library"
"One  Souvenir
(Lacquer  ware,
double  Jewelry
Box)",Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-07-26,800.0,0.0,Auctioned,"Auctioned
for
Rs.1,659/-"
"Candy  Box
(green)  (Candy
Pot)",,"Mr.  Khair  Mohamed  Janejo,  Minister
Food, Agriculture and Live Stock",Gen Mush,2002-07-27,0.0,0.0,Yes,Yes
